Iteration,Timestamp,P1_Tx_bps,P1_Rx_bps,P1_Drops_Iteration,P1_FCS_Iteration,P1_MaxLat_ns,P1_Jitter_ns,P1_PRBS_Iteration,P2_Tx_bps,P2_Rx_bps,P2_Drops_Iteration,P2_FCS_Iteration,P2_MaxLat_ns,P2_Jitter_ns,P2_PRBS_Iteration,Status
1,15:29:06,798050936,905684019,0,0,0,0,0,237579136,843467020,0,0,0,0,0,FAIL (SPEED DEGRADED)
2,15:29:07,892526736,952841096,0,0,0,0,0,612291304,921735834,0,0,0,0,0,FAIL (SPEED DEGRADED)
3,15:29:08,924016064,968562758,0,0,0,0,0,737190512,947822809,0,0,0,0,0,FAIL (SPEED DEGRADED)
4,15:29:09,986997192,999998254,0,0,0,0,0,986997904,1000000929,0,0,0,0,0,PASS
5,15:29:10,986993920,1000000857,0,0,0,0,0,986993504,1000000261,0,0,0,0,0,PASS
6,15:29:11,986995584,999996299,0,0,0,0,0,986997408,999999010,0,0,0,0,0,PASS
7,15:29:12,771044608,748817533,0,0,0,0,0,856208656,769565254,0,0,0,0,0,FAIL (SPEED DEGRADED)
8,15:29:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL (RAMPING UP / TRAFFIC STALLED)
9,15:29:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL (RAMPING UP / TRAFFIC STALLED)
10,15:29:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL (RAMPING UP / TRAFFIC STALLED)
11,15:29:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL (RAMPING UP / TRAFFIC STALLED)
12,15:29:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL (RAMPING UP / TRAFFIC STALLED)
13,15:29:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL (RAMPING UP / TRAFFIC STALLED)
14,15:29:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL (RAMPING UP / TRAFFIC STALLED)
15,15:29:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL (RAMPING UP / TRAFFIC STALLED)
